"Date","Price","Open","High","Low","Vol.","Change %"
"01-02-2026","26.25","28.30","31.90","25.92","737.53M","-7.08%"
"01-01-2026","28.25","35.36","36.41","26.83","751.66M","-18.94%"
"01-12-2025","34.85","39.86","40.13","32.40","1.23B","-12.77%"
"01-11-2025","39.95","46.00","46.58","36.70","1.03B","-13.94%"
"01-10-2025","46.42","44.30","50.73","43.27","633.74M","4.64%"
"01-09-2025","44.36","44.50","49.37","43.55","319.47M","1.00%"
"01-08-2025","43.92","50.43","51.89","41.76","280.53M","-16.71%"
"01-07-2025","52.73","70.19","70.90","51.25","309.48M","-24.98%"
"01-06-2025","70.29","58.64","76.49","58.51","3.11B","20.98%"
"01-05-2025","58.10","40.75","60.50","37.00","2.44B","45.29%"
"01-04-2025","39.99","41.95","46.85","35.11","829.28M","-6.96%"
"01-03-2025","42.98","33.46","44.76","31.27","672.94M","29.22%"
"01-02-2025","33.26","40.23","43.94","33.00","450.58M","-17.04%"
"01-01-2025","40.09","42.89","47.25","35.19","474.84M","-5.89%"
"01-12-2024","42.60","38.70","48.50","37.35","298.14M","10.08%"
"01-11-2024","38.70","43.40","45.76","33.30","320.28M","-9.43%"
"01-10-2024","42.73","51.09","53.64","37.30","674.13M","-12.19%"
"01-09-2024","48.66","30.60","48.66","29.21","1.21B","59.23%"
"01-08-2024","30.56","33.39","38.11","29.26","1.80B","-6.94%"
"01-07-2024","32.84","29.38","32.84","25.75","612.58M","13.52%"
"01-06-2024","28.93","25.75","33.11","23.30","1.03B","17.84%"
"01-05-2024","24.55","27.35","27.45","23.90","368.57M","-10.07%"
"01-04-2024","27.30","28.85","34.45","25.50","495.36M","-3.36%"
"01-03-2024","28.25","24.45","28.50","19.40","269.63M","16.74%"
